ISBT Product Description codes,Long Description
E5064VI0,Whole Blood
E5064VJ0,Whole Blood
E5357V00,Whole Blood
E5357VA0,Whole Blood
E5357VB0,Whole Blood
E5357VC0,Whole Blood
E5357VD0,Whole Blood
E5357VE0,Whole Blood
E5357VF0,Whole Blood
E5357VG0,Whole Blood
E5357VH0,Whole Blood
E5357VI0,Whole Blood
E5357VJ0,Whole Blood
E7425V00,Red Blood Cells
E7425VA0,Red Blood Cells
E7425VB0,Red Blood Cells
E7425VC0,Red Blood Cells
E7425VD0,Red Blood Cells
E7425VE0,Red Blood Cells
E7425VF0,Red Blood Cells
E7425VG0,Red Blood Cells
E7425VH0,Red Blood Cells
E7425VI0,Red Blood Cells
E7425VJ0,Red Blood Cells
E6053V00,Red Blood Cells
E6053VA0,Red Blood Cells
E6053VB0,Red Blood Cells
E6053VC0,Red Blood Cells
E6053VD0,Red Blood Cells
E6053VE0,Red Blood Cells
E6053VF0,Red Blood Cells
E6053VG0,Red Blood Cells
E6053VH0,Red Blood Cells
E6053VI0,Red Blood Cells
E6053VJ0,Red Blood Cells
E7426V00,Red Blood Cells
E7426VA0,Red Blood Cells
E7426VB0,Red Blood Cells
E7426VC0,Red Blood Cells
E7426VD0,Red Blood Cells
E7426VE0,Red Blood Cells
E7426VF0,Red Blood Cells
E7426VG0,Red Blood Cells
E7426VH0,Red Blood Cells
E7426VI0,Red Blood Cells
E7426VJ0,Red Blood Cells
E6467V00,Red Blood Cells
E6467VA0,Red Blood Cells
E6467VB0,Red Blood Cells
E6467VC0,Red Blood Cells
E6467VD0,Red Blood Cells
E6467VE0,Red Blood Cells
E6467VF0,Red Blood Cells
E6467VG0,Red Blood Cells
E6467VH0,Red Blood Cells
E6467VI0,Red Blood Cells
E6467VJ0,Red Blood Cells
E7427V00,Red Blood Cells
E7427VA0,Red Blood Cells
E7427VB0,Red Blood Cells
E7427VC0,Red Blood Cells
E7427VD0,Red Blood Cells
E7427VE0,Red Blood Cells
E7427VF0,Red Blood Cells
E7427VG0,Red Blood Cells
E7427VH0,Red Blood Cells
E7427VI0,Red Blood Cells
E7427VJ0,Red Blood Cells
E7428V00,Red Blood Cells
E7428VA0,Red Blood Cells
E7428VB0,Red Blood Cells
E7428VC0,Red Blood Cells
E7428VD0,Red Blood Cells
E7428VE0,Red Blood Cells
E7428VF0,Red Blood Cells
E7428VG0,Red Blood Cells
E7428VH0,Red Blood Cells
E7428VI0,Red Blood Cells
E7428VJ0,Red Blood Cells
E7429V00,Red Blood Cells
E7429VA0,Red Blood Cells
E7429VB0,Red Blood Cells
E7429VC0,Red Blood Cells
E7429VD0,Red Blood Cells
E7429VE0,Red Blood Cells
E7429VF0,Red Blood Cells
E7429VG0,Red Blood Cells
E7429VH0,Red Blood Cells
E7429VI0,Red Blood Cells
E7429VJ0,Red Blood Cells
E7430V00,Red Blood Cells
E7430VA0,Red Blood Cells
E7430VB0,Red Blood Cells
E7430VC0,Red Blood Cells
E7430VD0,Red Blood Cells
E7430VE0,Red Blood Cells
E7430VF0,Red Blood Cells
E7430VG0,Red Blood Cells
E7430VH0,Red Blood Cells
E7430VI0,Red Blood Cells
E7430VJ0,Red Blood Cells
E7431V00,Red Blood Cells
E7431VA0,Red Blood Cells
E7431VB0,Red Blood Cells
E7431VC0,Red Blood Cells
E7431VD0,Red Blood Cells
E7431VE0,Red Blood Cells
E7431VF0,Red Blood Cells
E7431VG0,Red Blood Cells
E7431VH0,Red Blood Cells
E7431VI0,Red Blood Cells
E7431VJ0,Red Blood Cells
E7432V00,Red Blood Cells
E7432VA0,Red Blood Cells
E7432VB0,Red Blood Cells
E7432VC0,Red Blood Cells
E7432VD0,Red Blood Cells
E7432VE0,Red Blood Cells
E7432VF0,Red Blood Cells
E7432VG0,Red Blood Cells
E7432VH0,Red Blood Cells
E7432VI0,Red Blood Cells
E7432VJ0,Red Blood Cells
E7433V00,Red Blood Cells
E7433VA0,Red Blood Cells
E7433VB0,Red Blood Cells
E7433VC0,Red Blood Cells
E7433VD0,Red Blood Cells
E7433VE0,Red Blood Cells
E7433VF0,Red Blood Cells
E7433VG0,Red Blood Cells
E7433VH0,Red Blood Cells
E7433VI0,Red Blood Cells
E7433VJ0,Red Blood Cells
E7434V00,Red Blood Cells
E7434VA0,Red Blood Cells
E7434VB0,Red Blood Cells
E7434VC0,Red Blood Cells
E7434VD0,Red Blood Cells
E7434VE0,Red Blood Cells
E7434VF0,Red Blood Cells
E7434VG0,Red Blood Cells
E7434VH0,Red Blood Cells
E7434VI0,Red Blood Cells
E7434VJ0,Red Blood Cells
E7435V00,Red Blood Cells
E7435VA0,Red Blood Cells
E7435VB0,Red Blood Cells
E7435VC0,Red Blood Cells
E7435VD0,Red Blood Cells
E7435VE0,Red Blood Cells
E7435VF0,Red Blood Cells
E7435VG0,Red Blood Cells
E7435VH0,Red Blood Cells
E7435VI0,Red Blood Cells
E7435VJ0,Red Blood Cells
E7436V00,Red Blood Cells
E7436VA0,Red Blood Cells
E7436VB0,Red Blood Cells
E7436VC0,Red Blood Cells
E7436VD0,Red Blood Cells
E7436VE0,Red Blood Cells
E7436VF0,Red Blood Cells
E7436VG0,Red Blood Cells
E7436VH0,Red Blood Cells
E7436VI0,Red Blood Cells
E7436VJ0,Red Blood Cells
E7437V00,Red Blood Cells
E7437VA0,Red Blood Cells
E7437VB0,Red Blood Cells
E7437VC0,Red Blood Cells
E7437VD0,Red Blood Cells
E7437VE0,Red Blood Cells
E7437VF0,Red Blood Cells
E7437VG0,Red Blood Cells
E7437VH0,Red Blood Cells
E7437VI0,Red Blood Cells
E7437VJ0,Red Blood Cells
E7438V00,Red Blood Cells
E7438VA0,Red Blood Cells
E7438VB0,Red Blood Cells
E7438VC0,Red Blood Cells
E7438VD0,Red Blood Cells
E7438VE0,Red Blood Cells
E7438VF0,Red Blood Cells
E7438VG0,Red Blood Cells
E7438VH0,Red Blood Cells
E7438VI0,Red Blood Cells
E7438VJ0,Red Blood Cells
E7439V00,Red Blood Cells
E7439VA0,Red Blood Cells
E7439VB0,Red Blood Cells
E7439VC0,Red Blood Cells
E7439VD0,Red Blood Cells
E7439VE0,Red Blood Cells
E7439VF0,Red Blood Cells
E7439VG0,Red Blood Cells
E7439VH0,Red Blood Cells
E7439VI0,Red Blood Cells
E7439VJ0,Red Blood Cells
E7440V00,Red Blood Cells
E7440VA0,Red Blood Cells
E7440VB0,Red Blood Cells
E7440VC0,Red Blood Cells
E7440VD0,Red Blood Cells
E7440VE0,Red Blood Cells
E7440VF0,Red Blood Cells
E7440VG0,Red Blood Cells
E7440VH0,Red Blood Cells
E7440VI0,Red Blood Cells
E7440VJ0,Red Blood Cells
E7441V00,Red Blood Cells
E7441VA0,Red Blood Cells
E7441VB0,Red Blood Cells
E7441VC0,Red Blood Cells
E7441VD0,Red Blood Cells
E7441VE0,Red Blood Cells
E7441VF0,Red Blood Cells
E7441VG0,Red Blood Cells
E7441VH0,Red Blood Cells
E7441VI0,Red Blood Cells
E7441VJ0,Red Blood Cells
E7442V00,Red Blood Cells
E7442VA0,Red Blood Cells
E7442VB0,Red Blood Cells
E7442VC0,Red Blood Cells
E7442VD0,Red Blood Cells
E7442VE0,Red Blood Cells
E7442VF0,Red Blood Cells
E7442VG0,Red Blood Cells
E7442VH0,Red Blood Cells
E7442VI0,Red Blood Cells
E7442VJ0,Red Blood Cells
E7443V00,Red Blood Cells
E7443VA0,Red Blood Cells
E7443VB0,Red Blood Cells
E7443VC0,Red Blood Cells
E7443VD0,Red Blood Cells
E7443VE0,Red Blood Cells
E7443VF0,Red Blood Cells
E7443VG0,Red Blood Cells
E7443VH0,Red Blood Cells
E7443VI0,Red Blood Cells
E7443VJ0,Red Blood Cells
E7445V00,Red Blood Cells
E7445VA0,Red Blood Cells
E7445VB0,Red Blood Cells
E7445VC0,Red Blood Cells
E7445VD0,Red Blood Cells
E7445VE0,Red Blood Cells
E7445VF0,Red Blood Cells
E7445VG0,Red Blood Cells
E7445VH0,Red Blood Cells
E7445VI0,Red Blood Cells
E7445VJ0,Red Blood Cells
E7446V00,Red Blood Cells
E7446VA0,Red Blood Cells
E7446VB0,Red Blood Cells
E7446VC0,Red Blood Cells
E7446VD0,Red Blood Cells
E7446VE0,Red Blood Cells
E7446VF0,Red Blood Cells
E7446VG0,Red Blood Cells
E7446VH0,Red Blood Cells
E7446VI0,Red Blood Cells
E7446VJ0,Red Blood Cells
E7447V00,Red Blood Cells
E7447VA0,Red Blood Cells
E7447VB0,Red Blood Cells
E7447VC0,Red Blood Cells
E7447VD0,Red Blood Cells
E7447VE0,Red Blood Cells
E7447VF0,Red Blood Cells
E7447VG0,Red Blood Cells
E7447VH0,Red Blood Cells
E7447VI0,Red Blood Cells
E7447VJ0,Red Blood Cells
E7448V00,Red Blood Cells
E7448VA0,Red Blood Cells
E7448VB0,Red Blood Cells
E7448VC0,Red Blood Cells
E7448VD0,Red Blood Cells
E7448VE0,Red Blood Cells
E7448VF0,Red Blood Cells
E7448VG0,Red Blood Cells
E7448VH0,Red Blood Cells
E7448VI0,Red Blood Cells
E7448VJ0,Red Blood Cells
E7449V00,Red Blood Cells
E7449VA0,Red Blood Cells
E7449VB0,Red Blood Cells
E7449VC0,Red Blood Cells
E7449VD0,Red Blood Cells
E7449VE0,Red Blood Cells
E7449VF0,Red Blood Cells
E7449VG0,Red Blood Cells
E7449VH0,Red Blood Cells
E7449VI0,Red Blood Cells
E7449VJ0,Red Blood Cells
E7450V00,Red Blood Cells
E7450VA0,Red Blood Cells
E7450VB0,Red Blood Cells
E7450VC0,Red Blood Cells
E7450VD0,Red Blood Cells
E7450VE0,Red Blood Cells
E7450VF0,Red Blood Cells
E7450VG0,Red Blood Cells
E7450VH0,Red Blood Cells
E7450VI0,Red Blood Cells
E7450VJ0,Red Blood Cells
E7451V00,Red Blood Cells
E7451VA0,Red Blood Cells
E7451VB0,Red Blood Cells
E7451VC0,Red Blood Cells
E7451VD0,Red Blood Cells
E7451VE0,Red Blood Cells
E7451VF0,Red Blood Cells
E7451VG0,Red Blood Cells
E7451VH0,Red Blood Cells
E7451VI0,Red Blood Cells
E7451VJ0,Red Blood Cells
E7452V00,Red Blood Cells
E7452VA0,Red Blood Cells
E7452VB0,Red Blood Cells
E7452VC0,Red Blood Cells
E7452VD0,Red Blood Cells
E7452VE0,Red Blood Cells
E7452VF0,Red Blood Cells
E7452VG0,Red Blood Cells
E7452VH0,Red Blood Cells
E7452VI0,Red Blood Cells
E7452VJ0,Red Blood Cells
E5358V00,Cryoprecipitate
E5358VA0,Cryoprecipitate
E5358VB0,Cryoprecipitate
E5358VC0,Cryoprecipitate
E5358VD0,Cryoprecipitate
E5358VE0,Cryoprecipitate
E5358VF0,Cryoprecipitate
E5358VG0,Cryoprecipitate
E5358VH0,Cryoprecipitate
E5358VI0,Cryoprecipitate
E5358VJ0,Cryoprecipitate
E8264V00,Cryoprecipitate
E8264VA0,Cryoprecipitate
E8264VB0,Cryoprecipitate
E8264VC0,Cryoprecipitate
E8264VD0,Cryoprecipitate
E8264VE0,Cryoprecipitate
E8264VF0,Cryoprecipitate
E8264VG0,Cryoprecipitate
E8264VH0,Cryoprecipitate
E8264VI0,Cryoprecipitate
E8264VJ0,Cryoprecipitate
E2807V00,Platelets
E2807VA0,Platelets
E2807VB0,Platelets
E2807VC0,Platelets
E2807VD0,Platelets
E2807VE0,Platelets
E2807VF0,Platelets
E2807VG0,Platelets
E2807VH0,Platelets
E2807VI0,Platelets
E2807VJ0,Platelets
E6506V00,Platelets
E6506VA0,Platelets
E6506VB0,Platelets
E6506VC0,Platelets
E6506VD0,Platelets
E6506VE0,Platelets
E6506VF0,Platelets
E6506VG0,Platelets
E6506VH0,Platelets
E6506VI0,Platelets
E6506VJ0,Platelets
E3093V00,Platelets
E3093VA0,Platelets
E3093VB0,Platelets
E3093VC0,Platelets
E3093VD0,Platelets
E3093VE0,Platelets
E3093VF0,Platelets
E3093VG0,Platelets
E3093VH0,Platelets
E3093VI0,Platelets
E3093VJ0,Platelets
E2940V00,Platelets
E2940VA0,Platelets
E2940VB0,Platelets
E2940VC0,Platelets
E2940VD0,Platelets
E2940VE0,Platelets
E2940VF0,Platelets
E2940VG0,Platelets
E2940VH0,Platelets
E2940VI0,Platelets
E2940VJ0,Platelets
E2981V00,Platelets
E2981VA0,Platelets
E2981VB0,Platelets
E2981VC0,Platelets
E2981VD0,Platelets
E2981VE0,Platelets
E2981VF0,Platelets
E2981VG0,Platelets
E2981VH0,Platelets
E2981VI0,Platelets
E2981VJ0,Platelets
E7454V00,Platelets
E5151V00,Platelets
E7455V00,Platelets
E2823V00,Platelets
E2823VA0,Platelets
E2823VB0,Platelets
E2823VC0,Platelets
E2823VD0,Platelets
E2823VE0,Platelets
E2823VF0,Platelets
E2823VG0,Platelets
E2823VH0,Platelets
E2823VI0,Platelets
E2823VJ0,Platelets
E7456V00,Platelets
E7456VA0,Platelets
E7456VB0,Platelets
E7456VC0,Platelets
E7456VD0,Platelets
E7456VE0,Platelets
E7456VF0,Platelets
E7456VG0,Platelets
E7456VH0,Platelets
E7456VI0,Platelets
E7456VJ0,Platelets
E6884V00,Platelets
E8259V00,Platelets
E3928V00,Platelets
E3928VA0,Platelets
E3928VB0,Platelets
E3928VC0,Platelets
E3928VD0,Platelets
E3928VE0,Platelets
E3928VF0,Platelets
E3928VG0,Platelets
E3928VH0,Platelets
E3928VI0,Platelets
E3928VJ0,Platelets
E3930V00,Platelets
E3930VA0,Platelets
E3930VB0,Platelets
E3930VC0,Platelets
E3930VD0,Platelets
E3930VE0,Platelets
E3930VF0,Platelets
E3930VG0,Platelets
E3930VH0,Platelets
E3930VI0,Platelets
E3930VJ0,Platelets
E8257V00,Platelets
E8255V00,Platelets
E8260V00,Plasma
E8260VA0,Plasma
E8260VB0,Plasma
E8260VC0,Plasma
E8260VD0,Plasma
E8260VE0,Plasma
E8260VF0,Plasma
E8260VG0,Plasma
E8260VH0,Plasma
E8260VI0,Plasma
E8260VJ0,Plasma
E8262V00,Plasma
E8262VA0,Plasma
E8262VB0,Plasma
E8262VC0,Plasma
E8262VD0,Plasma
E8262VE0,Plasma
E8262VF0,Plasma
E8262VG0,Plasma
E8262VH0,Plasma
E8262VI0,Plasma
E8262VJ0,Plasma
E4213V00,Plasma
E4213VA0,Plasma
E4213VB0,Plasma
E4213VC0,Plasma
E4213VD0,Plasma
E4213VE0,Plasma
E4213VF0,Plasma
E4213VG0,Plasma
E4213VH0,Plasma
E4213VI0,Plasma
E4213VJ0,Plasma
E5359V00,Plasma
E5359VA0,Plasma
E5359VB0,Plasma
E5359VC0,Plasma
E5359VD0,Plasma
E5359VE0,Plasma
E5359VF0,Plasma
E5359VG0,Plasma
E5359VH0,Plasma
E5359VI0,Plasma
E5359VJ0,Plasma
E5690V00,Plasma
E5690VA0,Plasma
E5690VB0,Plasma
E5690VC0,Plasma
E5690VD0,Plasma
E5690VE0,Plasma
E5690VF0,Plasma
E5690VG0,Plasma
E5690VH0,Plasma
E5690VI0,Plasma
E5690VJ0,Plasma
E8261V00,Plasma
E8261VA0,Plasma
E8261VB0,Plasma
E8261VC0,Plasma
E8261VD0,Plasma
E8261VE0,Plasma
E8261VF0,Plasma
E8261VG0,Plasma
E8261VH0,Plasma
E8261VI0,Plasma
E8261VJ0,Plasma
E7458V00,Red Blood Cells
E7458VA0,Red Blood Cells
E7458VB0,Red Blood Cells
E7458VC0,Red Blood Cells
E7458VD0,Red Blood Cells
E7458VE0,Red Blood Cells
E7458VF0,Red Blood Cells
E7458VG0,Red Blood Cells
E7458VH0,Red Blood Cells
E7458VI0,Red Blood Cells
E7458VJ0,Red Blood Cells
E7459V00,Red Blood Cells
E7459VA0,Red Blood Cells
E7459VB0,Red Blood Cells
E7459VC0,Red Blood Cells
E7459VD0,Red Blood Cells
E7459VE0,Red Blood Cells
E7459VF0,Red Blood Cells
E7459VG0,Red Blood Cells
E7459VH0,Red Blood Cells
E7459VI0,Red Blood Cells
E7459VJ0,Red Blood Cells
E7460V00,Red Blood Cells
E7460VA0,Red Blood Cells
E7460VB0,Red Blood Cells
E7460VC0,Red Blood Cells
E7460VD0,Red Blood Cells
E7460VE0,Red Blood Cells
E7460VF0,Red Blood Cells
E7460VG0,Red Blood Cells
E7460VH0,Red Blood Cells
E7460VI0,Red Blood Cells
E7460VJ0,Red Blood Cells
E7461V00,Red Blood Cells
E7461VA0,Red Blood Cells
E7461VB0,Red Blood Cells
E7461VC0,Red Blood Cells
E7461VD0,Red Blood Cells
E7461VE0,Red Blood Cells
E7461VF0,Red Blood Cells
E7461VG0,Red Blood Cells
E7461VH0,Red Blood Cells
E7461VI0,Red Blood Cells
E7461VJ0,Red Blood Cells
E6080V00,Leukocytes
E6080VA0,Leukocytes
E6080VB0,Leukocytes
E6080VC0,Leukocytes
E6080VD0,Leukocytes
E6080VE0,Leukocytes
E6080VF0,Leukocytes
E6080VG0,Leukocytes
E6080VH0,Leukocytes
E6080VI0,Leukocytes
E6080VJ0,Leukocytes
E7462V00,Leukocytes
E7462VA0,Leukocytes
E7462VB0,Leukocytes
E7462VC0,Leukocytes
E7462VD0,Leukocytes
E7462VE0,Leukocytes
E7462VF0,Leukocytes
E7462VG0,Leukocytes
E7462VH0,Leukocytes
E7462VI0,Leukocytes
E7462VJ0,Leukocytes
E8268V00,Plasma
E8268VA0,Plasma
E8268VB0,Plasma
E8268VC0,Plasma
E8268VD0,Plasma
E8268VE0,Plasma
E8268VF0,Plasma
E8268VG0,Plasma
E8268VH0,Plasma
E8268VI0,Plasma
E8268VJ0,Plasma
E2982V00,Platelets
E2982VA0,Platelets
E2982VB0,Platelets
E2982VC0,Platelets
E2982VD0,Platelets
E2982VE0,Platelets
E2982VF0,Platelets
E2982VG0,Platelets
E2982VH0,Platelets
E2982VI0,Platelets
E2982VJ0,Platelets
E2809V00,Platelets
E2809VA0,Platelets
E2809VB0,Platelets
E2809VC0,Platelets
E2809VD0,Platelets
E2809VE0,Platelets
E2809VF0,Platelets
E2809VG0,Platelets
E2809VH0,Platelets
E2809VI0,Platelets
E2809VJ0,Platelets
E2816V00,Platelets
E2816VA0,Platelets
E2816VB0,Platelets
E2816VC0,Platelets
E2816VD0,Platelets
E2816VE0,Platelets
E2816VF0,Platelets
E2816VG0,Platelets
E2816VH0,Platelets
E2816VI0,Platelets
E2816VJ0,Platelets
E3045V00,Platelets
E3045VA0,Platelets
E3045VB0,Platelets
E3045VC0,Platelets
E3045VD0,Platelets
E3045VE0,Platelets
E3045VF0,Platelets
E3045VG0,Platelets
E3045VH0,Platelets
E3045VI0,Platelets
E3045VJ0,Platelets
E3929V00,Platelets
E3929VA0,Platelets
E3929VB0,Platelets
E3929VC0,Platelets
E3929VD0,Platelets
E3929VE0,Platelets
E3929VF0,Platelets
E3929VG0,Platelets
E3929VH0,Platelets
E3929VI0,Platelets
E3929VJ0,Platelets
E6249V00,Platelets
E6250V00,Platelets
E6251V00,Platelets
E6252V00,Platelets
E6253V00,Platelets
E6254V00,Platelets
E6255V00,Platelets
E6647V00,Platelets
E6882V00,Platelets
E6883V00,Platelets
E6885V00,Platelets
E6886V00,Platelets
E6887V00,Platelets
E7453V00,Platelets
E7453VA0,Platelets
E7453VB0,Platelets
E7453VC0,Platelets
E7453VD0,Platelets
E7453VE0,Platelets
E7453VF0,Platelets
E7453VG0,Platelets
E7453VH0,Platelets
E7453VI0,Platelets
E7453VJ0,Platelets
E7457V00,Platelets
E7457VA0,Platelets
E7457VB0,Platelets
E7457VC0,Platelets
E7457VD0,Platelets
E7457VE0,Platelets
E7457VF0,Platelets
E7457VG0,Platelets
E7457VH0,Platelets
E7457VI0,Platelets
E7457VJ0,Platelets
E7864V00,Platelets
E8256V00,Platelets
E3062V00,Platelets
E3062VA0,Platelets
E3062VB0,Platelets
E3062VC0,Platelets
E3062VD0,Platelets
E3062VE0,Platelets
E3062VF0,Platelets
E3062VG0,Platelets
E3062VH0,Platelets
E3062VI0,Platelets
E3062VJ0,Platelets
E3931V00,Platelets
E3931VA0,Platelets
E3931VB0,Platelets
E3931VC0,Platelets
E3931VD0,Platelets
E3931VE0,Platelets
E3931VF0,Platelets
E3931VG0,Platelets
E3931VH0,Platelets
E3931VI0,Platelets
E3931VJ0,Platelets
E5996V00,Platelets
E8258V00,Platelets
